# -------------- Splitting Probability from Simulation Trajectory ----------------
# INPUT Frame vs Extension file: "dist_vs_frame.dat"
# INPUT Frame Range => frame_index_start: -1  |  frame_index_end: 160000.0
# INPUT Absorbing Boundaries => x_a (LEFT): 26  |  x_b (RIGHT): 41
# INPUT Bin Count => Frame Bins: 16000  |  Extension Bins: 40
# INPUT Thermal Energy (KbT): 0.5961281070745698 kcal/mol/K
# ---------------------------------------
EXT_BIN	EXT_BIN_START	EXT_BIN_END	EXT_BIN_MED	SP	PMF_RE
17	25.757975871115608	26.745214004180905	26.251594937648257	1.0	-2.7418563
18	26.745214004180905	27.732452137246202	27.238833070713554	0.98994255	-2.8530533
#19	27.732452137246202	28.7196902703115	28.22607120377885	0.983308	-2.3472638
20	28.7196902703115	29.706928403376796	29.213309336844148	0.9509494	-2.209564
21	29.706928403376796	30.694166536442093	30.200547469909445	0.9341826	-1.4644676
22	30.694166536442093	31.68140466950739	31.187785602974742	0.7795031	-0.93449265
23	31.68140466950739	32.66864280257269	32.17502373604004	0.517094	-0.94211406
24	32.66864280257269	33.65588093563798	33.162261869105336	0.367713	-1.0802506
25	33.65588093563798	34.643119068703285	34.14950000217063	0.1904762	-1.236204
26	34.643119068703285	35.63035720176858	35.13673813523593	0.11627907	-1.7359068
27	35.63035720176858	36.61759533483388	36.123976268301234	0.08173913	-2.2192676
#28	36.61759533483388	37.60483346789918	37.111214401366524	0.06794682	-2.3752525
#29	37.60483346789918	38.59207160096447	38.09845253443183	0.04453441	-2.473798
30	38.59207160096447	39.57930973402977	39.08569066749712	0.036410924	-2.66817
31	39.57930973402977	40.56654786709507	40.07292880056242	0.02177294	-2.388109
#32	40.56654786709507	41.55378600016037	41.06016693362772	0.0	-2.2814343
